# tau_us,P_x
1.209999999999999964e+00,9.693053024987394739e-01
1.215000000000000080e+00,9.880767824012155476e-01
1.219999999999999973e+00,9.770295932697564689e-01
1.225000000000000089e+00,9.346519512919556627e-01
1.229999999999999982e+00,8.960126673678068254e-01
1.235000000000000098e+00,8.944207204204026596e-01
1.239999999999999991e+00,9.223717208232585785e-01
1.245000000000000107e+00,9.399612072208659574e-01
1.250000000000000000e+00,9.118406321735490483e-01
1.255000000000000115e+00,8.479023709984562229e-01
1.260000000000000009e+00,8.143770293498470147e-01
1.265000000000000124e+00,8.647505142586777716e-01
1.270000000000000018e+00,9.562483784504091089e-01
1.275000000000000133e+00,9.727102219347230072e-01
1.280000000000000027e+00,8.179322686333747594e-01
1.284999999999999920e+00,5.012487892795579603e-01
1.290000000000000036e+00,1.759880629658578388e-01
1.294999999999999929e+00,4.166639123347010143e-02
1.300000000000000044e+00,1.672463280954362141e-01
1.304999999999999938e+00,4.617712947668083934e-01
1.310000000000000053e+00,7.730701900943923732e-01
1.314999999999999947e+00,9.580535177933398039e-01
1.320000000000000062e+00,9.556379206263644344e-01
1.324999999999999956e+00,8.410142022404135664e-01
1.330000000000000071e+00,7.340349487928398142e-01
1.334999999999999964e+00,6.813086315851206720e-01
1.340000000000000080e+00,6.823563287396001709e-01
1.344999999999999973e+00,7.359347082981293475e-01
1.350000000000000089e+00,8.195108237535060347e-01
1.354999999999999982e+00,8.934344868649546356e-01
1.360000000000000098e+00,9.393731079642446691e-01
1.364999999999999991e+00,9.618345896394070449e-01
1.370000000000000107e+00,9.682166860366504535e-01
1.375000000000000000e+00,9.662268808715160917e-01
1.380000000000000115e+00,9.631166695405211087e-01
1.385000000000000009e+00,9.615096447981534844e-01
1.390000000000000124e+00,9.597777814062937729e-01
1.395000000000000018e+00,9.561321046047822625e-01
1.400000000000000133e+00,9.537958301314837239e-01
1.405000000000000027e+00,9.599240969773541465e-01
1.409999999999999920e+00,9.758972218108357133e-01
1.415000000000000036e+00,9.913163090400123334e-01
1.419999999999999929e+00,9.904089294019027268e-01
1.425000000000000044e+00,9.669753876096605083e-01
