tau_us,P_x,baseline
0.1999918619791666,0.9625951755776118,0.9625951755776118
0.205078125,0.9621989799979932,0.9621989799979932
0.2101643880208333,0.9618027863097197,0.9618027863097197
0.2152506510416666,0.9614065984529029,0.9614065984529029
0.2203369140625,0.9354590435130414,0.9610104216307533
0.2254231770833333,0.9573640493099219,0.9606142611195596
0.2305094401041666,0.9602181219400961,0.9602181219400961
0.235595703125,0.9598220090806353,0.9598220090806353
0.2406819661458333,0.9594259300546555,0.9594259300546555
0.2457682291666666,0.9590298945231752,0.9590298945231752
0.2508544921875,0.9586339134439613,0.9586339134439613
0.2559407552083333,0.9460927045052453,0.9582379993991981
0.2610270182291667,0.9538969986929926,0.9578421663831376
0.26611328125,0.9574464282685788,0.9574464282685788
0.2711995442708333,0.9570507988888692,0.9570507988888692
0.2762858072916667,0.9464918117755421,0.9566552951836447
0.2813720703125,0.9480257636309024,0.9562599353239769
0.2864583333333333,0.9558647373793034,0.9558647373793034
0.2915445963541667,0.9554697193367195,0.9554697193367195
0.296630859375,0.9550749000214543,0.9550749000214543
0.3017171223958333,0.9546802995225917,0.9546802995225917
0.3068033854166667,0.9542859404739849,0.9542859404739849
0.3118896484375,0.9538918473420546,0.9538918473420546
0.3169759114583333,0.953498044704136,0.953498044704136
0.3220621744791667,0.9531045576150876,0.9531045576150876
0.3271484375,0.9283438377035687,0.9527114149169066
0.3322347005208333,0.918942952271511,0.9523186467234638
0.3373209635416667,0.9519262829049544,0.9519262829049544
0.3424072265625,0.9515343529978166,0.9515343529978166
0.3474934895833333,0.951142888247862,0.951142888247862
0.3525797526041667,0.9507519239996628,0.9507519239996628
0.357666015625,0.9460250994382711,0.9503614980186483
0.3627522786458333,0.91829190797753,0.9499716503737847
0.3678385416666667,0.9101992621798506,0.949582421090674
0.3729248046875,0.9491938498781208,0.9491938498781208
0.3780110677083333,0.9488059760510982,0.9488059760510982
0.3830973307291667,0.9062331582809768,0.9484188403198812
0.38818359375,0.8901428078750839,0.948032483905278
0.3932698567708333,0.9448697486560762,0.9476469476062397
0.3983561197916667,0.9472622716428212,0.9472622716428212
0.4034423828125,0.9468784962073049,0.9468784962073049
0.4085286458333333,0.9464956658190411,0.9464956658190411
0.4136149088541667,0.946113829047534,0.946113829047534
0.418701171875,0.9370481619685651,0.9457330382641513
0.4237874348958333,0.9029061322715143,0.945353348151391
0.4288736979166667,0.9277993849003474,0.9449748133049028
0.4339599609375,0.9445974878958641,0.9445974878958641
0.4390462239583333,0.9442214259236977,0.9442214259236977
0.4441324869791667,0.9438466822901327,0.9438466822901327
0.44921875,0.9434733147105787,0.9434733147105787
0.4543050130208333,0.9427389380505676,0.943101382731897
0.4593912760416667,0.9427309476833229,0.9427309476833229
0.4644775390625,0.9423620708904673,0.9423620708904673
0.4695638020833333,0.9419948149115153,0.9419948149115153
0.4746500651041667,0.9416292449698858,0.9416292449698858
0.479736328125,0.9412654305603483,0.9412654305603483
0.4848225911458333,0.940903442796179,0.940903442796179
0.4899088541666667,0.9034772194173272,0.9405433533476929
0.4949951171875,0.8672763748811522,0.9401852340803079
0.5000813802083334,0.8866629672117189,0.9398291564887807
0.5051676432291667,0.9394751913387795,0.9394751913387795
0.51025390625,0.9081618151270762,0.9391234088643107
0.5153401692708334,0.855701399349697,0.9387738793319717
0.5204264322916667,0.8331417488101602,0.9384266726987441
0.5255126953125,0.8537931351527358,0.9380818580908851
0.5305989583333334,0.8109346012768075,0.9377395035818021
0.5356852213541667,0.7717356838912004,0.9373996764020156
0.540771484375,0.7309037760848535,0.937062442513997
0.5458577473958334,0.7073893052050957,0.9367278662235776
0.5509440104166667,0.6697596355894504,0.9363960097750027
0.5560302734375,0.6345850310669487,0.9360669331191311
0.5611165364583334,0.5171019783619663,0.9357406935404587
0.5662027994791667,0.42362468153940225,0.9354173453086619
0.5712890625,0.4169968634776,0.9350969385070301
0.5763753255208334,0.4469475781341715,0.9347795181009261
0.5814615885416667,0.4507863738239336,0.9344651238747118
0.5865478515625,0.47894226346893265,0.93415379073443
0.5916341145833334,0.5196787589990076,0.9338455487493357
0.5967203776041667,0.51494367701206,0.9335404234365687
0.601806640625,0.5113083204313041,0.9332384361716012
0.6068929036458334,0.5135415143526636,0.9329396041439375
0.6119791666666667,0.5179055827674839,0.932643940323781
0.6170654296875,0.5056015192848293,0.9323514534873538
0.6221516927083334,0.48744274653606434,0.9320621482634953
0.6272379557291667,0.47831591815791935,0.9317760250135447
0.63232421875,0.48905072961395996,0.9314930796526479
0.6374104817708334,0.5380249518206472,0.9312133035613491
0.6424967447916667,0.5536918338377099,0.9309366836957697
0.6475830078125,0.5594253683064498,0.9306632030801468
0.6526692708333334,0.5622287346308479,0.93039284096627
0.6577555338541667,0.6023232202915955,0.9301255728935497
0.662841796875,0.7140974032105081,0.9298613707197557
0.6679280598958334,0.7949833211694771,0.9296002030246344
0.6730143229166667,0.8537916355838682,0.929342036230292
0.6781005859375,0.8516746073881412,0.9290868354126663
0.6831868489583334,0.8487642524128522,0.9288345648921912
0.6882731119791667,0.8323686688219186,0.9285851882151778
0.693359375,0.8002904277053713,0.9283386681272345
0.6984456380208334,0.7878431058599326,0.9280949664118047
0.7035319010416667,0.8567522566234119,0.9278540435718486
0.7086181640625,0.9275346558276927,0.9276158587078086
0.7137044270833334,0.8829235731913924,0.9273803702091088
0.7187906901041667,0.8479843241589319,0.9271475364643615
0.723876953125,0.8303434167465098,0.9269173154176109
0.7289632161458334,0.87916463172638,0.9266896642212693
0.7340494791666667,0.8697690536873277,0.9264645390620098
0.7391357421875,0.8883052041534313,0.9262418956512551
0.7442220052083334,0.8394156620312022,0.9260216891334736
0.7493082682291667,0.8614274694121078,0.9258038742737662
0.75439453125,0.8913339475319794,0.9255884049711739
0.7594807942708334,0.9165413318814866,0.9253752344809735
0.7645670572916667,0.8764594754590469,0.9251643157158972
0.7696533203125,0.8740149698533362,0.9249556015003383
0.7747395833333334,0.8847445311501008,0.9247490441716417
0.7798258463541667,0.8887517008677236,0.9245445955577462
0.784912109375,0.8479029443289504,0.9243422070865448
0.7899983723958334,0.866477593906717,0.9241418298280023
0.7950846354166667,0.8627773465508758,0.9239434140876905
0.8001708984375,0.8983896052973278,0.9237469095945392
0.8052571614583334,0.8865773131269583,0.9235522654658173
0.8103434244791667,0.8958851825982646,0.9233594305652205
0.8154296875,0.8643422547315671,0.9231683533866955
0.8205159505208334,0.8520820499184192,0.9229789821494462
0.8256022135416667,0.849378186229,0.9227912644844155
0.8306884765625,0.8925333670418277,0.9226051473135771
0.8357747395833334,0.9042280764164371,0.922420576824774
0.8408610026041667,0.919587948904401,0.9222374989051311
0.845947265625,0.9145050105766408,0.9220558592598487
0.8510335286458334,0.9218756035676312,0.9218756035676312
0.8561197916666667,0.919809944428459,0.9216966774316749
0.8612060546875,0.9187560740043634,0.9215190281425469
0.8662923177083334,0.8986515497591039,0.9213426029719471
0.8713785807291667,0.9147563992461061,0.9211673491639458
0.87646484375,0.917385650243676,0.9209932137357029
0.8815511067708334,0.9175801899860083,0.9208201436402685
0.8866373697916667,0.9206480857946178,0.9206480857946178
0.8917236328125,0.8896742696183957,0.9204769870833256
0.8968098958333334,0.863152580690661,0.9203067953353531
0.9018961588541669,0.8775224889613914,0.9201374580716338
